Datetime,Conditions,Temperature (C),Relativehumidity(%),Dew point(C),Humidex (C),Pressure(kPa),Visibility (km),Wind Direction,Wind Speed (km/hr),Wind chill (C)
2018-05-22 01:00:00,Light Snow,-6.3,80.0,-9.0,,101.1,24.0,NNW,19.0,-13
2018-05-22 02:00:00,Light Snow,-6.4,81.0,-9.0,,101.1,24.0,NNW,20.0,-13
2018-05-22 03:00:00,Light Snow,-6.6,83.0,-9.0,,101.1,16.0,NW,16.0,-13
2018-05-22 04:00:00,Light Snow,-6.6,78.0,-10.0,,101.0,32.0,NW,25.0,-14
2018-05-22 05:00:00,Light Snow,-7.0,76.0,-10.0,,101.1,24.0,NW,23.0,-15
2018-05-22 06:00:00,Light Snow,-7.1,77.0,-11.0,,101.0,24.0,NW,22.0,-15
2018-05-22 07:00:00,Light Snow,-6.9,73.0,-11.0,,101.0,10.0,NNW,26.0,-15
2018-05-22 08:00:00,Light Snow,-6.5,77.0,-10.0,,101.0,10.0,NW,24.0,-14
2018-05-22 09:00:00,Light Snow,-6.5,78.0,-10.0,,101.0,10.0,NNW,31.0,-15
2018-05-22 10:00:00,Light Snow,-6.0,80.0,-9.0,,101.0,6.0,NNW,25.0,-14
2018-05-22 11:00:00,Light Snow,-5.0,78.0,-8.0,,100.9,10.0,NNW,36.0,-14
2018-05-22 12:00:00,Light Snow,-4.7,78.0,-8.0,,100.9,10.0,NNW,35.0,-13
2018-05-22 13:00:00,Light Snow,-3.9,78.0,-7.0,,100.8,16.0,NW,34.0,-12
2018-05-22 14:00:00,Mostly Cloudy,-2.8,76.0,-7.0,,100.8,19.0,NW,37.0,-11
2018-05-22 15:00:00,Mostly Cloudy,-3.0,77.0,-7.0,,100.8,19.0,NW,41.0,-12
2018-05-22 16:00:00,Light Snow,-3.6,81.0,-6.0,,100.8,24.0,NW,48.0,-13
2018-05-22 17:00:00,Mostly Cloudy,-3.6,83.0,-6.0,,100.8,24.0,NNW,48.0,-13
2018-05-22 18:00:00,Mostly Cloudy,-3.5,82.0,-6.0,,100.8,32.0,NNW,51.0,-13
2018-05-22 19:00:00,Partly Cloudy,-4.0,84.0,-6.0,,100.8,32.0,NNW,54.0,-14
2018-05-22 20:00:00,Mostly Cloudy,-4.2,83.0,-7.0,,100.9,32.0,NW,35.0,-13
2018-05-22 21:00:00,Mostly Cloudy,-5.2,82.0,-8.0,,100.9,32.0,NNW,41.0,-14
2018-05-22 22:00:00,Mostly Cloudy,-6.2,84.0,-9.0,,101.0,32.0,NW,38.0,-16
2018-05-22 23:00:00,Mostly Cloudy,-5.7,82.0,-8.0,,101.0,32.0,NW,16.0,-12
2018-05-23 00:00:00,Light Snow,-5.5,83.0,-8.0,,100.9,24.0,WNW,16.0,-11
